Código da IES,Sigla da IES,Nome da IES,Categoria Administrativa,Organização Acadêmica,Situaçao da IES,Sinalização da IES,Código do Curso,Nome do Curso,Grau,Modalidade,Situação do Curso,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização - Turno Integral,Quantitativo de Vagas - Integral,Integralização - Turno Matutino,Quantitativo de Vagas - Matutino,Integralização - Turno Vespertino,Quantitativo de Vagas - Vespertino,Integralização - Turno Noturno,Quantitativo de Vagas - Noturno,Sinalização do Curso,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF,Início Funcionamento,Data Ato de Criação,Valor CC,Ano CC,CPC Faixa,CPC Contínuo,CPC Ano, Valor IDD,IDD Ano,Valor ENADE,ENADE Ano,Código Rótulo CINE,Rótulo CINE,Código Área Detalhada CINE,Área Detalhada CINE,Código Área Específica CINE,Área Específica CINE,Código Área Geral CINE , Área Geral CINE 
3974,FESURV,UNIVERSIDADE DE RIO VERDE,Pública Municipal,Universidade,Ativa,,1178672,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,8700,Semestral,12.0 Semestres,120,,,,,,,,659685,Unidade SEDE,Fazenda Fontes do Saber,S/N,,Campus Universitário,000000005218805,Rio Verde,GO,03/01/2012,2011-04-04,,,,,,,,0,2013,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
17887,,Faculdade de Ciências Médicas de São José dos Campos,Privada com fins lucrativos,Faculdade ,Ativa,,1363536,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,7960,Semestral,12.00 Semestres,120,,,,,,,,1077831,Faculdade de Ciências Médicas de São José dos Campos - Humanitas,Avenida Brigadeiro Faria Lima,811,,Putim,000000003549904,São José dos Campos,SP,31/07/2017,2017-05-08,4,2016,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
475,FMP,FACULDADE DE MEDICINA DE PETRÓPOLIS,Privada sem fins lucrativos,Faculdade ,Ativa,,9772,MEDICINA,Bacharelado,Educação Presencial,Em atividade,150,8272,Semestral,12.0 Semestres,150,,,,,,,,657924,Campus Barão do Rio Branco - Petrópolis/RJ,Avenida Barão do Rio Branco,1003,,Centro,000000003303906,Petrópolis,RJ,31/10/1967,1967-08-18,4,2019,3,250,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
375,UNISA,UNIVERSIDADE SANTO AMARO,Privada sem fins lucrativos,Universidade,Ativa,,74655,MEDICINA,Bacharelado,Educação Presencial,Em atividade,304,8473,Semestral,12.00 Semestres,160,,,,,,,,657864,Campus I,Rua Enéas de Siqueira Neto,340,,Jardim das Imbuias,000000003550308,São Paulo,SP,01/02/2005,1970-03-17,4,2016,2,185,2016,2,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
322,UNIP,UNIVERSIDADE PAULISTA,Privada com fins lucrativos,Universidade,Ativa,,5001421,ODONTOLOGIA,Bacharelado,Educação Presencial,Em atividade,100,4000,Semestral,,,10.0 Semestres,100,,,,,SUB JUDICE,2637,SANTANA DE PARNAÍBA I,Avenida Yojiro Takaoka,3500,,Aphavile,000000003547304,Santana de Parnaíba,SP,Não iniciado,2018-03-07,,,,,,,,,,0911O01,Odontologia,0911,Odontologia,091,Saúde,09,Saúde e bem-estar,
18506,UFOB,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,Pública Federal,Universidade,Ativa,,1292725,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,7480,Semestral,12.0 Semestres,80,,,,,,,,1066442,Campus Reitor Edgard Santos,Rua da Prainha,1326,,Morada Nobre,000000002903201,Barreiras,BA,08/09/2014,2014-05-13,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
4450,UNIFAMAZ,CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA,Privada sem fins lucrativos,Centro Universitário,Ativa,,1171609,MEDICINA,Bacharelado,Educação Presencial,Em atividade,140,7464,Semestral,12.00 Semestres,140,,,,,,,,1041237,UNIFAMAZ - CENTRO UNIVERSITÁRIO METROPOLITANO DA AMAZÔNIA,Avenida Visconde de Souza Franco,72,,Reduto,000000001501402,Belém,PA,27/10/2014,2013-11-28,4,2012,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
5077,UERR,UNIVERSIDADE ESTADUAL DE RORAIMA,Pública Estadual,Universidade,Ativa,,1457006,MEDICINA,Bacharelado,Educação Presencial,Em atividade,30,8870,Semestral,12.0 Semestres,30,,,,,,,,660012,CAMPUS  - BOA VISTA - CANARINHO,Avenida Sete de Setembro,231,,Canarinho,000000001400100,Boa Vista,RR,Não iniciado,2017-12-06,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
11,UNICAP,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,Privada sem fins lucrativos,Universidade,Ativa,,1200712,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,8705,Semestral,12.00 Semestres,120,,,,,,,,657677,POLO NA SEDE,Rua do Príncipe,526,Campus Universitário-UNICAP,Boa Vista,000000002611606,Recife,PE,04/08/2014,2014-04-16,5,2020,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
402,UNICEUB,CENTRO UNIVERSITÁRIO DE BRASÍLIA,Privada sem fins lucrativos,Centro Universitário,Ativa,,1135207,MEDICINA,Bacharelado,Educação Presencial,Em atividade,150,7940,Semestral,12.0 Semestres,100,,,,,,,,657875,UNIDADE SEDE,Eqn 707 907 Conjunto C,S/N,Campus do CEUB,Asa Norte,000000005300108,Brasília,DF,01/08/2013,2013-03-21,5,2018,,,,,,0,2013,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
367,UNIMONTES,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,Pública Estadual,Universidade,Ativa,,7837,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,11136,Semestral,12.0 Semestres,80,,,,,,,,657857,CAMPUS DE MONTES CLAROS,Campus Universitário Prof. Darcy Ribeiro - Avenida Rui Braga,s/n,Caixa Postal 126,Vila Mauricéia,000000003143302,Montes Claros,MG,04/03/1969,1974-11-06,,,3,236,2016,3,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
203,USJT,UNIVERSIDADE SÃO JUDAS TADEU,Privada com fins lucrativos,Universidade,Ativa,,1455021,MEDICINA,Bacharelado,Educação Presencial,Em atividade,50,7880,Semestral,12.0 Semestres,50,,,,,,,,1096272,CAMPUS CUBATÃO,Rua São Paulo,328,,Centro,000000003513504,Cubatão,SP,14/12/2018,2018-12-04,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
54,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,Pública Estadual,Universidade,Ativa,,2695,MEDICINA,Bacharelado,Educação Presencial,Em atividade,110,8671,Semestral,12.0 Semestres,110,,,,,,,,685827,Faculdade de Enfermagem - Fenf/UNICAMP,Rua Tessália Vieira de Camargo,126,,Cidade Universitária,000000003509502,Campinas,SP,01/03/1963,1958-11-25,,,4,370,2016,4,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
527,PUC GOIÁS,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,Privada sem fins lucrativos,Universidade,Ativa,,84408,MEDICINA,Bacharelado,Educação Presencial,Em atividade,124,8000,Semestral,12.0 Semestres,124,,,,,,,,690864,GOIÂNIA (SEDE),AVENIDA UNIVERSITÁRIA,1440,CAIXA POSTAL 86,SETOR UNIVERSITÁRIO,000000005208707,Goiânia,GO,08/08/2005,2005-05-04,4,2017,3,269,2016,4,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
16,UGF,UNIVERSIDADE GAMA FILHO,Privada com fins lucrativos,Universidade,Extinta,Descredenciada por medida de supervisão,1372,MEDICINA,Bacharelado,Educação Presencial,Extinto,170,8138,Semestral,12.0 Semestres,170,,,,,,,,657680,Unidade SEDE,Rua Manoel Vitorino,553,Prédio ON 4º Andar,Piedade,000000003304557,Rio de Janeiro,RJ,02/01/1965,1965-10-15,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
143,UNIUBE,UNIVERSIDADE DE UBERABA,Privada sem fins lucrativos,Universidade,Ativa,,20360,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,8030,Semestral,12.00 Semestres,120,,,,,,,,657746,CAMPUS SEDE - UBERABA - 657746x,Av. Nene Sabino, 1801, Santa Marta.,1.801,Campus Universitário II,Universitário,000000003170107,Uberaba,MG,01/02/2000,1997-04-08,4,2018,2,193,2016,2,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
4431,FACENE/RN,FACULDADE DE ENFERMAGEM NOVA ESPERANÇA DE MOSSORÓ - FACENE/RN,Privada com fins lucrativos,Faculdade ,Ativa,,1192047,MEDICINA,Bacharelado,Educação Presencial,Em atividade,113,7720,Semestral,12.0 Semestres,113,,,,,,,,659844,CAMPUS  - MOSSORÓ - ALTO DE SÃO MANOEL,Avenida Presidente Dutra,701,,Alto de São Manoel,000000002408003,Mossoró,RN,30/11/2018,2018-11-29,3,2018,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
22191,Estácio Jaraguá,Faculdade Estácio de Jaraguá do Sul,Privada com fins lucrativos,Faculdade ,Ativa,,1408508,MEDICINA,Bacharelado,Educação Presencial,Em atividade,50,8538,Semestral,12.0 Semestres,50,,,,,,,,1081354,JARAGUÁ DO SUL,Rua Germano Stricker,555,,Tifa Monos,000000004208906,Jaraguá do Sul,SC,29/03/2018,2018-03-09,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
572,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,Pública Federal,Universidade,Ativa,,12692,MEDICINA,Bacharelado,Educação Presencial,Em atividade,180,9135,Semestral,12.0 Semestres,180,,,,,,,,1099,Faculdade de Medicina,Rua Marques do Paraná ,303,3º andar - Prédio Anexo do HUAP,Centro,000000003303302,Niterói,RJ,31/05/1926,1929-01-01,,,3,269,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
664,UVV,UNIVERSIDADE VILA VELHA,Privada sem fins lucrativos,Universidade,Ativa,,98406,MEDICINA,Bacharelado,Educação Presencial,Em atividade,170,8020,Semestral,12.0 Semestres,170,,,,,,,,1004951,Unidade SEDE,Av. Comissário José Dantas de Mello,21,Unidade SEDE,Boa Vista II,000000003205200,Vila Velha,ES,05/02/2007,2006-11-13,4,2018,4,300,2016,4,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
595,UNIFAL-MG,UNIVERSIDADE FEDERAL DE ALFENAS,Pública Federal,Universidade,Ativa,,1202573,MEDICINA,Bacharelado,Educação Presencial,Em atividade,60,7685,Semestral,12.00 Semestres,60,,,,,,,,1044232,Universidade Federal de Alfenas - UNIFAL-MG (Sede),Rua Gabriel Monteiro da Silva,700,,Centro,000000003101607,Alfenas,MG,10/02/2014,2013-12-12,4,2019,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
4849,UNITPAC,Centro Universitário Tocantinense Presidente Antônio Carlos,Privada com fins lucrativos,Centro Universitário,Ativa,Credenciamento EaD Provisório,99476,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,7210,Semestral,12.00 Semestres,80,,,,,,,,702329,Campus Araguaína,Avenida Filadélfia,568,,Setor Oeste,000000001702109,Araguaína,TO,21/12/2006,2006-12-21,4,2016,3,276,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
605,USCS,UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,Pública Municipal,Universidade,Ativa,,1349675,MEDICINA,Bacharelado,Educação Presencial,Em atividade,120,7607,Semestral,12.0 Semestres,120,,,,,,,,1076019,CAMPUS SÃO PAULO,Rua Treze de Maio,669/671,,Bela Vista,000000003550308,São Paulo,SP,01/03/2016,2015-12-15,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
398,UNIT,UNIVERSIDADE TIRADENTES,Privada com fins lucrativos,Universidade,Ativa,,5000001,MEDICINA,Bacharelado,Educação Presencial,Em atividade,160,7880,Anual,6.0 Anos,140,,,,,,,Em Supervisão - Procedimento Sancionador com Medida Cautelar, Suspensão contrato FIES, Suspensão PRONATEC, Suspensão PROUNI,657873,Campus Aracaju Farolândia,Avenida Murilo Dantas,300,Campus Aracaju Farolândia,Farolândia,000000002800308,Aracaju,SE,18/01/2010,,4,2019,4,301,2016,3,2016,3,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
76,FURB,UNIVERSIDADE REGIONAL DE BLUMENAU,Pública Municipal,Universidade,Ativa,,3677,MEDICINA,Bacharelado,Educação Presencial,Em atividade,90,7560,Semestral,12.00 Semestres,90,,,,,,,,1041245,Unidade SEDE,Rua Antonio da Veiga,140,,Victor Konder,000000004202404,Blumenau,SC,05/03/1990,1989-07-11,,,2,148,2016,2,2016,2,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
6,UFOP,UNIVERSIDADE FEDERAL DE OURO PRETO,Pública Federal,Universidade,Ativa,,103596,MEDICINA,Bacharelado,Educação Presencial,Em atividade,80,7242,Semestral,12.0 Semestres,80,,,,,,,,663,Campus Morro do Cruzeiro,Rua Paulo Magalhães Gomes,s/n,,Bauxita,000000003146107,Ouro Preto,MG,24/09/2007,2007-12-27,4,2017,4,317,2016,3,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
2,UNB,UNIVERSIDADE DE BRASÍLIA,Pública Federal,Universidade,Ativa,,140,MEDICINA,Bacharelado,Educação Presencial,Em atividade,76,7920,Semestral,12.00 Semestres,72,,,,,,,,4229,Campus Universitário Darcy Ribeiro,Campus Universitário Darcy Ribeiro,s/n,,Asa Norte,000000005300108,Brasília,DF,01/03/1962,1962-03-01,4,2015,4,325,2016,3,2016,4,2016,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
22076,,Faculdade Estácio de Alagoinhas,Privada com fins lucrativos,Faculdade ,Ativa,,1399614,MEDICINA,Bacharelado,Educação Presencial,Em atividade,65,8538,Semestral,12.0 Semestres,65,,,,,,,,1089995,ALAGOINHAS,Avenida Linha Verde,s/n,,Alagoinhas Velha,000000002900702,Alagoinhas,BA,09/04/2018,2018-03-28,,,,,,,,,,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
2158,FSM,FACULDADE SANTA MARIA,Privada com fins lucrativos,Faculdade ,Ativa,,1104264,MEDICINA,Bacharelado,Educação Presencial,Em atividade,60,8980,Semestral,12.0 Semestres,60,12.0 Semestres,0,,,,,,659015,Unidade SEDE,Br 230 Km,S/N,Sítio Serrote,Cristo Rei,000000002503704,Cajazeiras,PB,01/08/2012,2012-06-06,4,2017,,,,,,0,2013,0912M01,Medicina,0912,Medicina,091,Saúde,09,Saúde e bem-estar,
