CO_IES,NO_IES,SG_IES,DS_CATEGORIA_ADM,NO_MUNICIPIO_CAMPUS,SG_UF_CAMPUS,CO_IES_CURSO,NO_CURSO,DS_GRAU,DS_TURNO,TP_MODALIDADE,DS_MOD_CONCORRENCIA,NU_PERCENTUAL_BONUS,QT_VAGAS_CONCORRENCIA,NU_NOTACORTE,QT_INSCRICAO
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,6,726.79,995
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,6,728.29,557
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,741.44,211
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,764.06,227
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)",0.00,2,691.37,40
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,2,672.87,26
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,692.37,24
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Lei nº 12.711/2012 - Lei de cotas,"Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012).",0.00,1,697.61,19
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo reserva de vagas,com deficiência,0.00,1,732.19,62
549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Pública Federal,Rio Branco,AC,53338,MEDICINA,Bacharelado,Integral,Ação afirmativa própria da instituição - tipo bônus,"que tenham cursado todo o Ensino Médio, presencial e regular, em escolas privadas ou públicas da região do Estado do Acre.",15,0,846.52,1016
